player,team,league,age,nation,pos,playing time_min,standard_sot%,standard_g/sh,team success_ppm,performance_gls_per90,performance_ast_per90,performance_g-pk_per90,performance_pk_per90,performance_crdy_per90,performance_crdr_per90,performance_fls_per90,performance_fld_per90,performance_off_per90,performance_crs_per90,performance_int_per90,performance_tklw_per90,standard_sh_per90,standard_sot_per90
Aaron Cresswell,West Ham,ENG-Premier League,34,ENG,DF,3495.0,3.6999999999999997,0.0,1.2966666666666666,0.0,0.025751072961373394,0.0,0.0,0.1802575107296137,0.0,0.38626609442060084,0.3605150214592274,0.07725321888412016,4.660944206008584,1.004291845493562,0.5665236051502146,0.3605150214592274,0.025751072961373394
Aaron Hickey,Brentford,ENG-Premier League,24-092,SCO,"DF,MF",3383.0,12.3,0.0,1.43,0.0,0.026603606266627257,0.0,0.0,0.34584688146615433,0.0,1.037540644398463,1.6228199822642624,0.026603606266627257,1.0109370381318357,0.7981081879988176,1.143955069464972,0.6384865503990541,0.10641442506650903
Aaron Ramsey,Nice,FRA-Ligue 1,31,WAL,MF,2111.0,30.299999999999997,0.025,0.9750000000000001,0.04263382283278067,0.04263382283278067,0.04263382283278067,0.0,0.1705352913311227,0.0,1.27901468498342,0.9379441023211748,0.1705352913311227,2.600663192799621,0.8100426338228328,1.8332543818095688,1.1937470393178589,0.3410705826622454
Aaron Wan-Bissaka,Aston Villa,ENG-Premier League,28-288,COD,"DF,MF",8469.0,16.919999999999998,0.026000000000000002,1.232,0.021253985122210415,0.09564293304994687,0.021253985122210415,0.0,0.11689691817215728,0.0,0.8182784272051009,0.5419766206163655,0.06376195536663125,1.540913921360255,1.7109458023379382,1.2964930924548355,0.308182784272051,0.08501594048884166
Aaron Zehnter,Wolfsburg,Unknown,20,GER,"DF,MF",1457.0,22.75,0.09,2.05,0.12354152367879204,0.0,0.12354152367879204,0.0,0.0,0.0,0.12354152367879204,0.0,0.0,2.2237474262182566,1.0501029512697322,0.6177076183939602,0.6794783802333562,0.3088538091969801
Aarón Martín,Mainz 05,Unknown,25,ESP,"MF,DF",8465.0,20.7,0.06999999999999999,0.966,0.06379208505611342,0.18074424099232134,0.06379208505611342,0.0,0.1488481984642646,0.010632014176018901,1.2758417011222682,0.8930891907855877,0.08505611340815121,7.421145894861194,0.5528647371529828,1.2120496160661547,0.5422327229769639,0.17011222681630242
Abakar Sylla,Strasbourg,FRA-Ligue 1,22,CIV,DF,2809.0,16.375,0.095,0.9724999999999999,0.09611961552153792,0.0,0.09611961552153792,0.0,0.19223923104307583,0.03203987184051264,1.601993592025632,0.35243859024563906,0.03203987184051264,0.12815948736205057,1.2175151299394804,1.1854752580989676,0.5767176931292275,0.19223923104307583
Abdallah Sima,Lens,FRA-Ligue 1,25-085,SEN,FW,4040.0,30.075000000000003,0.095,1.1925,0.3118811881188119,0.13366336633663367,0.3118811881188119,0.0,0.11138613861386139,0.0,1.4702970297029703,1.5148514851485149,0.44554455445544555,1.0915841584158417,0.1782178217821782,0.6460396039603961,2.495049504950495,0.8242574257425742
Abde Ezzalzouli,Real Betis,ESP-La Liga,24-267,MAR,"FW,MF",6685.0,28.166666666666668,0.05000000000000001,1.3116666666666668,0.2288706058339566,0.16155572176514585,0.2288706058339566,0.0,0.13462976813762154,0.02692595362752431,1.1847419596110695,2.181002243829469,0.1884816753926702,3.0291697830964845,0.4442782348541511,1.2251308900523559,2.867614061331339,1.0501121914734481
Abde Rebbach,Alavés,ESP-La Liga,28-030,ALG,"MF,DF",2922.0,31.375,0.0225,1.395,0.061601642710472276,0.12320328542094455,0.061601642710472276,0.0,0.40041067761806987,0.0,2.0328542094455853,1.4784394250513349,0.3080082135523614,6.3757700205338805,0.8624229979466118,0.9856262833675564,1.8172484599589322,0.5544147843942505
Abdel Abqar,Getafe,ESP-La Liga,27-184,MAR,DF,6303.0,13.15,0.0,1.1925,0.0,0.042836744407425034,0.0,0.0,0.47120418848167545,0.014278914802475014,1.5706806282722514,1.313660161827701,0.057115659209900055,0.12851023322227512,1.170871013802951,0.8710138029509756,0.4140885292717753,0.07139457401237506
Abdelhamid Ait Boudlal,Rennes,FRA-Ligue 1,20-147,MAR,DF,1583.0,15.4,0.075,1.925,0.11370814908401768,0.05685407454200884,0.11370814908401768,0.0,0.22741629816803535,0.05685407454200884,0.9096651926721414,0.5685407454200885,0.05685407454200884,0.11370814908401768,1.421351863550221,0.8528111181301328,0.7391029690461149,0.22741629816803535
Abdelhamid Sabiri,Fiorentina,ITA-Serie A,28,MAR,MF,1096.0,16.65,0.03,0.75,0.16423357664233576,0.0,0.08211678832116788,0.08211678832116788,0.4105839416058394,0.0,2.3813868613138687,3.284671532846715,0.0,4.762773722627737,0.16423357664233576,0.8211678832116788,2.791970802919708,0.9032846715328468
Abdou Harroui,Hellas Verona,ITA-Serie A,27,NED,MF,3036.0,27.1,0.095,0.9475,0.2075098814229249,0.1482213438735178,0.1482213438735178,0.05928853754940712,0.23715415019762848,0.0,1.8379446640316204,0.6818181818181819,0.11857707509881424,1.7786561264822134,0.32608695652173914,1.1561264822134387,2.1936758893280635,0.6521739130434783
Abdoul Coulibaly,Werder Bremen,Unknown,18,GER,DF,2149.0,8.35,0.085,1.965,0.041879944160074456,0.0,0.041879944160074456,0.0,0.20939972080037228,0.041879944160074456,0.7538389948813401,0.37691949744067005,0.041879944160074456,0.5444392740809679,1.005118659841787,0.5863192182410424,0.25127966496044674,0.041879944160074456
Abdoul Ouattara,Strasbourg,FRA-Ligue 1,19,FRA,"MF,DF",2281.0,33.56666666666667,0.09000000000000001,1.4400000000000002,0.11836913634370891,0.0394563787812363,0.11836913634370891,0.0,0.11836913634370891,0.0,0.7496711968434897,0.47347654537483563,0.0789127575624726,0.8680403331871986,1.1047786058746163,0.6313020604997808,1.2626041209995615,0.5523893029373081
Abdoulaye Bamba,Angers,FRA-Ligue 1,35,CIV,DF,3129.0,33.333333333333336,0.0,0.77,0.0,0.0,0.0,0.0,0.14381591562799617,0.0,0.6615532118887824,0.7190795781399808,0.11505273250239693,0.7190795781399808,1.2080536912751678,0.9491850431447747,0.05752636625119847,0.028763183125599234
