player,team,league,pos,nation,age,playing time_min,performance_save%,performance_cs%,penalty kicks_save%,performance_ga_per90,performance_sota_per90,performance_saves_per90,performance_cs_per90,penalty kicks_pksv_per90
Aaron Ramsdale,Newcastle,ENG-Premier League,GK,ENG,27,7664,64.125,22.299999999999997,7.15,1.5383611691022963,4.474164926931106,2.9358037578288103,0.2348643006263048,0.023486430062630476
Aarón Escandell,Oviedo,ESP-La Liga,GK,ESP,29,3393,48.55,13.9,14.3,1.5649867374005306,5.437665782493369,3.872679045092838,0.2652519893899204,0.05305039787798408
Adrian Šemper,Pisa,ITA-Serie A,GK,CRO,27,2250,66.1,16.0,0.0,1.6800000000000002,4.96,3.2800000000000002,0.16,0.0
Adrián,Real Betis,ESP-La Liga,GK,ESP,38,1800,75.30000000000001,7.9,0.0,1.4,4.2,2.8,0.15000000000000002,0.0
Agustín Marchesín,Celta Vigo,ESP-La Liga,GK,ARG,34,1710,59.2,31.6,50.0,1.526315789473684,3.736842105263158,2.210526315789474,0.3157894736842105,0.10526315789473685
Aitor Fernández,Osasuna,ESP-La Liga,GK,ESP,34,2667,76.4,38.7,0.0,1.0461192350956132,3.8807649043869517,2.8346456692913384,0.3374578177727784,0.0
Alaa Bellaarouch,Strasbourg,FRA-Ligue 1,GK,MAR,21,1350,58.7,13.3,25.0,1.7333333333333334,4.2,2.466666666666667,0.13333333333333333,0.06666666666666667
Alban Lafont,Nantes,FRA-Ligue 1,GK,CIV,25,6905,64.56666666666666,22.599999999999998,0.0,1.5119478638667634,4.43157132512672,3.1151339608979005,0.24764663287472846,0.0
Alberto Paleari,Torino,ITA-Serie A,GK,ITA,32,2700,60.849999999999994,15.5,0.0,1.6,4.466666666666667,2.8666666666666667,0.30000000000000004,0.0
Alex McCarthy,Southampton,ENG-Premier League,GK,ENG,34,990,55.050000000000004,0.0,0.0,2.7272727272727275,6.181818181818182,3.454545454545454,0.0,0.0
Alex Meret,Napoli,ITA-Serie A,GK,ITA,29-172,10087,67.34,36.58,33.339999999999996,0.9457717854664419,2.8997719837414495,1.9629225736095965,0.3836621393873302,0.04461187667294538
Alex Palmer,Ipswich Town,ENG-Premier League,GK,ENG,27,1170,60.0,0.0,0.0,2.3076923076923075,5.769230769230768,3.4615384615384617,0.0,0.0
Alexander Meyer,Dortmund,Unknown,GK,GER,33,1505,64.66666666666667,19.066666666666666,0.0,1.495016611295681,4.245847176079734,2.7508305647840534,0.23920265780730898,0.0
Alexander Nübel,Stuttgart,Unknown,GK,GER,28,12240,66.875,26.675,10.825,1.441176470588235,4.411764705882353,2.9779411764705883,0.2647058823529412,0.014705882352941176
Alexander Schwolow,Mainz 05,Unknown,GK,GER,34-100,2755,69.575,27.275,0.0,2.38475499092559,5.6515426497277685,3.266787658802178,0.09800362976406535,0.0
